vref,3458A_volt
-10.0,-9.999999505
-9.5,-9.499999653
-9.0,-8.999999419
-8.5,-8.499999612
-8.0,-8.000000261
-7.5,-7.499999481
-7.0,-7.000000101
-6.5,-6.500000235
-6.0,-6.000000413
-5.5,-5.500000665
-5.0,-5.00000068
-4.5,-4.500000505
-4.0,-4.000000536
-3.5,-3.500000861
-3.0,-3.000001215
-2.5,-2.500001349
-2.0,-2.000000938
-1.5,-1.50000116
-1.0,-1.000001279
-0.5,-0.5000013392
0.0,-2.504039894e-07
0.5,0.5000003229
1.0,1.000000101
1.5,1.499999643
2.0,1.999999318
2.5,2.499999508
3.0,2.99999877
3.5,3.499998887
4.0,3.999998532
4.5,4.499998237
5.0,4.999997852
5.5,5.49999791
6.0,5.999997673
6.5,6.49999726
7.0,6.999997317
7.5,7.499996624
8.0,7.999997079
8.5,8.499996356
9.0,8.999997003
9.5,9.49999631
10.0,9.999996073