vref,3458B_volt
-10.0,-9.999998985
-9.5,-9.499999208
-9.0,-8.999999476
-8.5,-8.500000154
-8.0,-8.00000051
-7.5,-7.499999913
-7.0,-7.000000371
-6.5,-6.500000624
-6.0,-6.000000643
-5.5,-5.500000969
-5.0,-5.000000738
-4.5,-4.500000816
-4.0,-4.000001201
-3.5,-3.500001395
-3.0,-3.000001326
-2.5,-2.500001667
-2.0,-2.000001069
-1.5,-1.500001235
-1.0,-1.000001546
-0.5,-0.5000014622
0.0,-1.466036483e-08
0.5,0.5000003627
1.0,0.9999999923
1.5,1.499999519
2.0,1.999999486
2.5,2.499999541
3.0,2.999999229
3.5,3.499998888
4.0,3.999998547
4.5,4.499998382
5.0,4.999998232
5.5,5.49999814
6.0,5.999997725
6.5,6.499997707
7.0,6.999997322
7.5,7.499996761
8.0,7.999997226
8.5,8.499996651
9.0,8.999996647
9.5,9.499996232
10.0,9.999995715