vref,34401A_volt
-10.0,-10.000046
-9.9,-9.9000447
-9.8,-9.8000475
-9.700000000000001,-9.7000459
-9.600000000000001,-9.6000435
-9.500000000000002,-9.5000441
-9.400000000000002,-9.4000419
-9.300000000000002,-9.3000435
-9.200000000000003,-9.2000434
-9.100000000000003,-9.1000413
-9.000000000000004,-9.0000417
-8.900000000000004,-8.9000417
-8.800000000000004,-8.8000404
-8.700000000000005,-8.7000404
-8.600000000000005,-8.6000398
-8.500000000000005,-8.5000394
-8.400000000000006,-8.4000389
-8.300000000000006,-8.300039
-8.200000000000006,-8.2000389
-8.100000000000007,-8.1000374
-8.000000000000007,-8.0000384
-7.9000000000000075,-7.9000377
-7.800000000000008,-7.8000373
-7.700000000000008,-7.7000361
-7.6000000000000085,-7.6000361
-7.500000000000009,-7.5000367
-7.400000000000009,-7.4000351
-7.30000000000001,-7.3000338
-7.20000000000001,-7.2000349
-7.10000000000001,-7.100034
-7.000000000000011,-7.000035
-6.900000000000011,-6.9000346
-6.800000000000011,-6.8000341
-6.700000000000012,-6.7000342
-6.600000000000012,-6.6000319
-6.500000000000012,-6.5000316
-6.400000000000013,-6.4000317
-6.300000000000013,-6.3000317
-6.2000000000000135,-6.20003
-6.100000000000014,-6.1000289
-6.000000000000014,-6.0000297
-5.900000000000015,-5.9000297
-5.800000000000015,-5.8000295
-5.700000000000015,-5.7000285
-5.600000000000016,-5.6000283
-5.500000000000016,-5.5000274
-5.400000000000016,-5.4000254
-5.300000000000017,-5.3000269
-5.200000000000017,-5.2000266
-5.100000000000017,-5.1000254
-5.000000000000018,-5.0000246
-4.900000000000018,-4.9000239
-4.8000000000000185,-4.8000238
-4.700000000000019,-4.700023
-4.600000000000019,-4.600024
-4.5000000000000195,-4.5000238
-4.40000000000002,-4.400022
-4.30000000000002,-4.3000228
-4.200000000000021,-4.2000225
-4.100000000000021,-4.1000208
-4.000000000000021,-4.0000214
-3.9000000000000217,-3.9000206
-3.800000000000022,-3.800021
-3.7000000000000224,-3.7000209
-3.6000000000000227,-3.6000202
-3.500000000000023,-3.5000191
-3.4000000000000234,-3.4000199
-3.300000000000024,-3.3000187
-3.200000000000024,-3.2000177
-3.1000000000000245,-3.1000185
-3.000000000000025,-3.000017
-2.9000000000000252,-2.9000176
-2.8000000000000256,-2.8000164
-2.700000000000026,-2.7000166
-2.6000000000000263,-2.6000163
-2.5000000000000266,-2.500016
-2.400000000000027,-2.4000171
-2.3000000000000274,-2.3000147
-2.2000000000000277,-2.2000146
-2.100000000000028,-2.1000152
-2.0000000000000284,-2.0000135
-1.9000000000000288,-1.900014
-1.8000000000000291,-1.8000131
-1.7000000000000295,-1.7000123
-1.6000000000000298,-1.6000121
-1.5000000000000302,-1.5000111
-1.4000000000000306,-1.4000104
-1.300000000000031,-1.3000105
-1.2000000000000313,-1.2000086
-1.1000000000000316,-1.1000091
-1.000000000000032,-1.0000088
-0.9000000000000323,-0.9000069
-0.8000000000000327,-0.8000071
-0.700000000000033,-0.7000071
-0.6000000000000334,-0.6000066
-0.5000000000000338,-0.5000065
-0.4000000000000341,-0.4000039
-0.30000000000003446,-0.3000031
-0.20000000000003482,-0.2000026
-0.10000000000003517,-0.1000021
-3.552713678800501e-14,-1.6e-06
0.09999999999996412,0.1000008
0.19999999999996376,0.2000003
0.2999999999999634,0.3000008
0.39999999999996305,0.4000037
0.4999999999999627,0.5000025
0.5999999999999623,0.6000026
0.699999999999962,0.7000034
0.7999999999999616,0.8000033
0.8999999999999613,0.9000055
0.9999999999999609,1.0000044
1.0999999999999606,1.1000054
1.1999999999999602,1.2000062
1.2999999999999599,1.3000063
1.3999999999999595,1.4000077
1.4999999999999591,1.5000061
1.5999999999999588,1.6000069
1.6999999999999584,1.7000079
1.799999999999958,1.8000073
1.8999999999999577,1.9000079
1.9999999999999574,2.0000096
2.099999999999957,2.1000098
2.1999999999999567,2.2000079
2.2999999999999563,2.3000098
2.399999999999956,2.4000096
2.4999999999999556,2.5000099
2.5999999999999552,2.6000115
2.699999999999955,2.7000118
2.7999999999999545,2.8000118
2.899999999999954,2.9000119
2.999999999999954,3.0000129
3.0999999999999535,3.1000122
3.199999999999953,3.2000124
3.2999999999999527,3.3000142
3.3999999999999524,3.400013
3.499999999999952,3.5000141
3.5999999999999517,3.6000145
3.6999999999999513,3.7000155
3.799999999999951,3.8000141
3.8999999999999506,3.900016
3.9999999999999503,4.0000156
4.09999999999995,4.100015
4.1999999999999496,4.2000179
4.299999999999949,4.3000175
4.399999999999949,4.4000191
4.4999999999999485,4.5000183
4.599999999999948,4.600019
4.699999999999948,4.7000178
4.799999999999947,4.8000205
4.899999999999947,4.9000195
4.999999999999947,5.0000199
5.099999999999946,5.1000196
5.199999999999946,5.20002
5.299999999999946,5.3000195
5.399999999999945,5.4000211
5.499999999999945,5.5000211
5.599999999999945,5.6000223
5.699999999999944,5.7000231
5.799999999999944,5.8000221
5.8999999999999435,5.9000244
5.999999999999943,6.0000245
6.099999999999945,6.1000243
6.1999999999999424,6.2000257
6.29999999999994,6.3000252
6.399999999999942,6.4000246
6.499999999999943,6.5000256
6.599999999999941,6.600025
6.699999999999939,6.700025
6.79999999999994,6.8000273
6.899999999999942,6.9000267
6.99999999999994,7.0000261
7.0999999999999375,7.1000269
7.199999999999939,7.2000281
7.29999999999994,7.3000282
7.399999999999938,7.4000283
7.499999999999936,7.5000278
7.5999999999999375,7.6000298
7.699999999999939,7.7000302
7.799999999999937,7.800031
7.899999999999935,7.9000324
7.999999999999936,8.0000317
8.099999999999937,8.1000332
8.199999999999935,8.2000333
8.299999999999933,8.3000337
8.399999999999935,8.4000343
8.499999999999936,8.5000351
8.599999999999934,8.6000376
8.699999999999932,8.7000366
8.799999999999933,8.8000347
8.899999999999935,8.900037
8.999999999999932,9.0000373
9.09999999999993,9.1000372
9.199999999999932,9.2000367
9.299999999999933,9.3000382
9.399999999999931,9.400038
9.499999999999929,9.5000402
9.59999999999993,9.6000405
9.699999999999932,9.7000404
9.79999999999993,9.8000412
9.899999999999928,9.9000414
9.999999999999929,10.00004
10.09999999999993,10.100042
10.199999999999928,10.200043
10.299999999999926,10.300043
10.399999999999928,10.400043
10.499999999999929,10.500046
10.599999999999927,10.600045
10.699999999999925,10.700046
10.799999999999926,10.800045
10.899999999999928,10.900046
